GNU gdb (Ubuntu 7.7.1-0ubuntu5~14.04.2) 7.7.1
Copyright (C) 2014 Free Software Foundation, Inc.
License GPLv3+: GNU GPL version 3 or later <http://gnu.org/licenses/gpl.html>
This is free software: you are free to change and redistribute it.
There is NO WARRANTY, to the extent permitted by law.  Type "show copying"
and "show warranty" for details.
This GDB was configured as "x86_64-linux-gnu".
Type "show configuration" for configuration details.
For bug reporting instructions, please see:
<http://www.gnu.org/software/gdb/bugs/>.
Find the GDB manual and other documentation resources online at:
<http://www.gnu.org/software/gdb/documentation/>.
For help, type "help".
Type "apropos word" to search for commands related to "word"...
Reading symbols from /usr/bin/openssl...(no debugging symbols found)...done.
All defined functions:

Non-debugging symbols:
0x0000000000412d80  EVP_PKEY_derive@plt
0x0000000000412d90  SSL_has_matching_session_id@plt
0x0000000000412da0  BN_is_prime_ex@plt
0x0000000000412db0  OCSP_id_issuer_cmp@plt
0x0000000000412dc0  NETSCAPE_SPKI_b64_decode@plt
0x0000000000412dd0  sk_pop_free@plt
0x0000000000412de0  SSL_get_selected_srtp_profile@plt
0x0000000000412df0  EVP_PKEY_free@plt
0x0000000000412e00  PEM_write_bio_X509@plt
0x0000000000412e10  EVP_MD_type@plt
0x0000000000412e20  EC_GROUP_get_order@plt
0x0000000000412e30  TS_RESP_new@plt
0x0000000000412e40  SSL_get_srp_username@plt
0x0000000000412e50  GENERAL_NAMES_new@plt
0x0000000000412e60  __fprintf_chk@plt
0x0000000000412e70  X509_CRL_free@plt
0x0000000000412e80  OCSP_request_onereq_get0@plt
0x0000000000412e90  X509_delete_ext@plt
0x0000000000412ea0  i2d_RSA_NET@plt
0x0000000000412eb0  TLSv1_server_method@plt
0x0000000000412ec0  X509_get1_ocsp@plt
0x0000000000412ed0  PEM_read_bio_Parameters@plt
0x0000000000412ee0  gethostbyname@plt
0x0000000000412ef0  SSL_CTX_set_srp_client_pwd_callback@plt
0x0000000000412f00  lh_new@plt
0x0000000000412f10  X509_PURPOSE_get_by_sname@plt
0x0000000000412f20  X509_keyid_set1@plt
0x0000000000412f30  ASN1_GENERALIZEDTIME_free@plt
0x0000000000412f40  __gmon_start__@plt
0x0000000000412f50  BIO_new_connect@plt
0x0000000000412f60  TS_REQ_new@plt
0x0000000000412f70  EC_KEY_generate_key@plt
0x0000000000412f80  puts@plt
0x0000000000412f90  lh_strhash@plt
0x0000000000412fa0  RAND_seed@plt
0x0000000000412fb0  SSL_set_msg_callback@plt
0x0000000000412fc0  SSL_set_shutdown@plt
0x0000000000412fd0  NETSCAPE_SPKI_verify@plt
0x0000000000412fe0  UI_method_get_closer@plt
0x0000000000412ff0  SSL_CIPHER_get_id@plt
0x0000000000413000  X509_PURPOSE_get0@plt
0x0000000000413010  AES_options@plt
0x0000000000413020  CMS_add1_ReceiptRequest@plt
0x0000000000413030  X509_add1_reject_object@plt
0x0000000000413040  PKCS12_set_mac@plt
0x0000000000413050  __isoc99_sscanf@plt
0x0000000000413060  PEM_read_bio_X509_CRL@plt
0x0000000000413070  select@plt
0x0000000000413080  EVP_MD_CTX_init@plt
0x0000000000413090  exit@plt
0x00000000004130a0  PKCS7_to_TS_TST_INFO@plt
0x00000000004130b0  d2i_X509_REQ_bio@plt
0x00000000004130c0  OpenSSLDie@plt
0x00000000004130d0  OBJ_obj2nid@plt
0x00000000004130e0  ASN1_INTEGER_set@plt
0x00000000004130f0  __assert_fail@plt
0x0000000000413100  __printf_chk@plt
0x0000000000413110  BN_bn2hex@plt
0x0000000000413120  PEM_write_bio_RSA_PUBKEY@plt
0x0000000000413130  TXT_DB_create_index@plt
0x0000000000413140  CRYPTO_set_mem_functions@plt
0x0000000000413150  SSL_state_string_long@plt
0x0000000000413160  SRP_VBASE_new@plt
0x0000000000413170  EVP_MD_CTX_md@plt
0x0000000000413180  X509_NAME_ENTRY_get_object@plt
0x0000000000413190  ASN1_ENUMERATED_set@plt
0x00000000004131a0  EVP_PKEY_asn1_get0@plt
0x00000000004131b0  strcasecmp@plt
0x00000000004131c0  X509_REQ_add1_attr_by_NID@plt
0x00000000004131d0  i2d_RSAPrivateKey_bio@plt
0x00000000004131e0  setvbuf@plt
0x00000000004131f0  BIO_s_connect@plt
0x0000000000413200  UI_method_set_writer@plt
0x0000000000413210  EC_KEY_print@plt
0x0000000000413220  TLSv1_1_server_method@plt
0x0000000000413230  PKCS8_decrypt@plt
0x0000000000413240  CONF_modules_load@plt
0x0000000000413250  ENGINE_get_next@plt
0x0000000000413260  AES_cbc_encrypt@plt
0x0000000000413270  BUF_MEM_grow@plt
0x0000000000413280  OPENSSL_load_builtin_modules@plt
0x0000000000413290  putchar@plt
0x00000000004132a0  EC_KEY_set_conv_form@plt
0x00000000004132b0  Camellia_cbc_encrypt@plt
0x00000000004132c0  X509_NAME_print_ex_fp@plt
0x00000000004132d0  SSL_CTX_set_srp_verify_param_callback@plt
0x00000000004132e0  CMS_set1_eContentType@plt
0x00000000004132f0  EVP_PKEY2PKCS8_broken@plt
0x0000000000413300  EVP_BytesToKey@plt
0x0000000000413310  X509_REQ_new@plt
0x0000000000413320  PEM_write_bio_X509_REQ@plt
0x0000000000413330  HMAC@plt
0x0000000000413340  NCONF_new@plt
0x0000000000413350  SSL_CTX_set_srp_strength@plt
0x0000000000413360  NCONF_get_number_e@plt
0x0000000000413370  X509_sign_ctx@plt
0x0000000000413380  EVP_CIPHER_CTX_init@plt
0x0000000000413390  EVP_PKEY_base_id@plt
0x00000000004133a0  BIO_get_callback_arg@plt
0x00000000004133b0  X509_ocspid_print@plt
0x00000000004133c0  read@plt
0x00000000004133d0  SSL_CTX_check_private_key@plt
0x00000000004133e0  CONF_modules_unload@plt
0x00000000004133f0  strncmp@plt
0x0000000000413400  malloc@plt
0x0000000000413410  fopen@plt
0x0000000000413420  DSA_generate_parameters_ex@plt
0x0000000000413430  X509_CRL_sign_ctx@plt
0x0000000000413440  __libc_start_main@plt
0x0000000000413450  BIO_set_flags@plt
0x0000000000413460  PEM_write_bio_DSAparams@plt
0x0000000000413470  CMS_data_create@plt
0x0000000000413480  dup@plt
0x0000000000413490  ENGINE_get_RSA@plt
0x00000000004134a0  EVP_PKEY_asn1_find_str@plt
0x00000000004134b0  EVP_MD_CTX_set_flags@plt
0x00000000004134c0  SSL_get_error@plt
0x00000000004134d0  ENGINE_by_id@plt
0x00000000004134e0  BIO_new_fp@plt
0x00000000004134f0  OCSP_copy_nonce@plt
0x0000000000413500  OPENSSL_add_all_algorithms_noconf@plt
0x0000000000413510  X509_check_private_key@plt
0x0000000000413520  SSL_set_accept_state@plt
0x0000000000413530  X509_PURPOSE_get0_sname@plt
0x0000000000413540  EVP_PKEY_CTX_get_app_data@plt
0x0000000000413550  i2d_TS_RESP_bio@plt
0x0000000000413560  TS_RESP_verify_response@plt
0x0000000000413570  X509_set_issuer_name@plt
0x0000000000413580  X509_REQ_sign_ctx@plt
0x0000000000413590  SSL_CTX_set_client_cert_engine@plt
0x00000000004135a0  X509_NAME_get_index_by_NID@plt
0x00000000004135b0  TLSv1_2_client_method@plt
0x00000000004135c0  SSL_get_srp_N@plt
0x00000000004135d0  RSA_new@plt
0x00000000004135e0  SRP_check_known_gN_param@plt
0x00000000004135f0  EVP_PKEY_sign@plt
0x0000000000413600  NETSCAPE_X509_free@plt
0x0000000000413610  d2i_PKCS12_bio@plt
0x0000000000413620  NETSCAPE_SPKI_b64_encode@plt
0x0000000000413630  BIO_s_mem@plt
0x0000000000413640  RSA_free@plt
0x0000000000413650  TS_RESP_CTX_new@plt
0x0000000000413660  SSL_get_srp_g@plt
0x0000000000413670  X509_verify_cert@plt
0x0000000000413680  RSA_new_method@plt
0x0000000000413690  PEM_write_bio_PUBKEY@plt
0x00000000004136a0  ASN1_OBJECT_free@plt
0x00000000004136b0  EVP_PKEY_CTX_ctrl_str@plt
0x00000000004136c0  EC_KEY_new@plt
0x00000000004136d0  DH_check@plt
0x00000000004136e0  HMAC_CTX_cleanup@plt
0x00000000004136f0  X509_set_subject_name@plt
0x0000000000413700  SSL_renegotiate@plt
0x0000000000413710  BIO_free_all@plt
0x0000000000413720  PEM_write_bio_ECPKParameters@plt
0x0000000000413730  X509_STORE_CTX_set_flags@plt
0x0000000000413740  __memcpy_chk@plt
0x0000000000413750  DSAparams_print@plt
0x0000000000413760  CMS_add0_recipient_password@plt
0x0000000000413770  TS_CONF_set_crypto_device@plt
0x0000000000413780  SSL_SESSION_free@plt
0x0000000000413790  BN_rshift1@plt
0x00000000004137a0  OCSP_sendreq_new@plt
0x00000000004137b0  SSL_set_bio@plt
0x00000000004137c0  SSL_get_current_cipher@plt
0x00000000004137d0  setsockopt@plt
0x00000000004137e0  PEM_write_bio_DSA_PUBKEY@plt
0x00000000004137f0  ENGINE_ctrl_cmd_string@plt
0x0000000000413800  d2i_PrivateKey_bio@plt
0x0000000000413810  sysconf@plt
0x0000000000413820  TXT_DB_get_by_index@plt
0x0000000000413830  BIO_push@plt
0x0000000000413840  EC_GROUP_check@plt
0x0000000000413850  BIO_f_md@plt
0x0000000000413860  OCSP_REQUEST_print@plt
0x0000000000413870  SSL_CTX_set_psk_client_callback@plt
0x0000000000413880  PKCS7_print_ctx@plt
0x0000000000413890  SSL_read@plt
0x00000000004138a0  EVP_ripemd160@plt
0x00000000004138b0  SSL_CTX_set_generate_session_id@plt
0x00000000004138c0  BN_generate_prime_ex@plt
0x00000000004138d0  X509_POLICY_NODE_print@plt
0x00000000004138e0  SSL_CTX_set_tlsext_use_srtp@plt
0x00000000004138f0  SSL_CTX_set_next_protos_advertised_cb@plt
0x0000000000413900  fgets@plt
0x0000000000413910  EVP_PKEY_get0_asn1@plt
0x0000000000413920  BIO_s_file@plt
0x0000000000413930  EVP_PKEY_asn1_get0_info@plt
0x0000000000413940  BIO_new_socket@plt
0x0000000000413950  TS_REQ_set_version@plt
0x0000000000413960  UI_method_get_writer@plt
0x0000000000413970  PEM_write_bio_PKCS7_stream@plt
0x0000000000413980  ASN1_STRING_set_default_mask_asc@plt
0x0000000000413990  BN_new@plt
0x00000000004139a0  SSL_CTX_set_srp_cb_arg@plt
0x00000000004139b0  PEM_read_bio_PrivateKey@plt
0x00000000004139c0  SSL_get_servername_type@plt
0x00000000004139d0  BIO_socket_ioctl@plt
0x00000000004139e0  RSA_private_encrypt@plt
0x00000000004139f0  i2d_DSAPrivateKey_bio@plt
0x0000000000413a00  __strcat_chk@plt
0x0000000000413a10  SSL_CTX_use_PrivateKey@plt
0x0000000000413a20  EVP_MD_do_all_sorted@plt
0x0000000000413a30  SSL_cache_hit@plt
0x0000000000413a40  OCSP_request_add0_id@plt
0x0000000000413a50  ERR_load_crypto_strings@plt
0x0000000000413a60  SSL_pending@plt
0x0000000000413a70  ERR_get_string_table@plt
0x0000000000413a80  ASN1_ENUMERATED_free@plt
0x0000000000413a90  BUF_strdup@plt
0x0000000000413aa0  CMS_sign@plt
0x0000000000413ab0  X509_STORE_free@plt
0x0000000000413ac0  BIO_f_base64@plt
0x0000000000413ad0  RSA_PKCS1_SSLeay@plt
0x0000000000413ae0  SSL_CTX_set_cookie_verify_cb@plt
0x0000000000413af0  X509_CRL_get_ext_d2i@plt
0x0000000000413b00  OCSP_REQ_CTX_add1_header@plt
0x0000000000413b10  SSL_write@plt
0x0000000000413b20  EVP_rc2_cbc@plt
0x0000000000413b30  X509_VERIFY_PARAM_set_flags@plt
0x0000000000413b40  __ctype_toupper_loc@plt
0x0000000000413b50  EC_KEY_get0_group@plt
0x0000000000413b60  TS_CONF_set_policies@plt
0x0000000000413b70  X509_add1_trust_object@plt
0x0000000000413b80  OCSP_id_get0_info@plt
0x0000000000413b90  EVP_MD_flags@plt
0x0000000000413ba0  PKCS7_verify@plt
0x0000000000413bb0  CRYPTO_set_mem_debug_options@plt
0x0000000000413bc0  PEM_read_bio_DSAparams@plt
0x0000000000413bd0  fputc@plt
0x0000000000413be0  EVP_PKEY_get1_DSA@plt
0x0000000000413bf0  X509_VERIFY_PARAM_set_time@plt
0x0000000000413c00  OCSP_REQUEST_add_ext@plt
0x0000000000413c10  SSL_shutdown@plt
0x0000000000413c20  EVP_des_ede3_cbc@plt
0x0000000000413c30  EVP_PKEY_CTX_get_keygen_info@plt
0x0000000000413c40  times@plt
0x0000000000413c50  OBJ_txt2nid@plt
0x0000000000413c60  EVP_PKEY_encrypt_init@plt
0x0000000000413c70  CMS_sign_receipt@plt
0x0000000000413c80  DSA_verify@plt
0x0000000000413c90  X509_get_pubkey@plt
0x0000000000413ca0  EC_METHOD_get_field_type@plt
0x0000000000413cb0  OCSP_response_get1_basic@plt
0x0000000000413cc0  NCONF_load@plt
0x0000000000413cd0  NETSCAPE_SPKI_set_pubkey@plt
0x0000000000413ce0  free@plt
0x0000000000413cf0  X509_STORE_CTX_set_cert@plt
0x0000000000413d00  X509_get_ext_count@plt
0x0000000000413d10  CRYPTO_gcm128_setiv@plt
0x0000000000413d20  X509_STORE_add_lookup@plt
0x0000000000413d30  X509_STORE_CTX_free@plt
0x0000000000413d40  EVP_PKEY_print_params@plt
0x0000000000413d50  strlen@plt
0x0000000000413d60  ASN1_TIME_free@plt
0x0000000000413d70  EVP_MD_CTX_cleanup@plt
0x0000000000413d80  SSL_SESSION_print@plt
0x0000000000413d90  PEM_write_bio_RSAPublicKey@plt
0x0000000000413da0  CONF_get_section@plt
0x0000000000413db0  OCSP_response_status_str@plt
0x0000000000413dc0  X509_REVOKED_new@plt
0x0000000000413dd0  PKCS7_free@plt
0x0000000000413de0  COMP_zlib_cleanup@plt
0x0000000000413df0  BF_cbc_encrypt@plt
0x0000000000413e00  d2i_PBEPARAM@plt
0x0000000000413e10  SSL_set_srp_server_param@plt
0x0000000000413e20  sk_new_null@plt
0x0000000000413e30  X509_NAME_get_entry@plt
0x0000000000413e40  PEM_read_bio_NETSCAPE_CERT_SEQUENCE@plt
0x0000000000413e50  EVP_cleanup@plt
0x0000000000413e60  TS_REQ_set_msg_imprint@plt
0x0000000000413e70  TS_RESP_print_bio@plt
0x0000000000413e80  CMS_decrypt_set1_key@plt
0x0000000000413e90  ASN1_d2i_bio@plt
0x0000000000413ea0  ASN1_TYPE_get@plt
0x0000000000413eb0  __xstat@plt
0x0000000000413ec0  SSL_get_certificate@plt
0x0000000000413ed0  TS_CONF_set_tsa_name@plt
0x0000000000413ee0  gethostbyaddr@plt
0x0000000000413ef0  CRYPTO_mem_leaks@plt
0x0000000000413f00  PKCS8_PRIV_KEY_INFO_free@plt
0x0000000000413f10  EVP_PKEY_print_private@plt
0x0000000000413f20  UI_ctrl@plt
0x0000000000413f30  RC4@plt
0x0000000000413f40  OCSP_resp_find_status@plt
0x0000000000413f50  SSL_CTX_set_tmp_rsa_callback@plt
0x0000000000413f60  PKCS12_unpack_authsafes@plt
0x0000000000413f70  EVP_DecryptInit_ex@plt
0x0000000000413f80  SSL_CTX_get_cert_store@plt
0x0000000000413f90  SSL_CTX_callback_ctrl@plt
0x0000000000413fa0  NETSCAPE_SPKI_free@plt
0x0000000000413fb0  CMS_get1_ReceiptRequest@plt
0x0000000000413fc0  X509_VERIFY_PARAM_free@plt
0x0000000000413fd0  BIO_snprintf@plt
0x0000000000413fe0  SSL_set_verify@plt
0x0000000000413ff0  UI_destroy_method@plt
0x0000000000414000  ERR_free_strings@plt
0x0000000000414010  X509V3_EXT_add_nconf@plt
0x0000000000414020  listen@plt
0x0000000000414030  PEM_write_bio_Parameters@plt
0x0000000000414040  __ctype_b_loc@plt
0x0000000000414050  PEM_read_bio_X509@plt
0x0000000000414060  RC2_set_key@plt
0x0000000000414070  X509_STORE_CTX_get0_policy_tree@plt
0x0000000000414080  SHA1@plt
0x0000000000414090  X509_free@plt
0x00000000004140a0  d2i_PKCS8_bio@plt
0x00000000004140b0  HMAC_CTX_init@plt
0x00000000004140c0  EVP_DigestInit_ex@plt
0x00000000004140d0  BIO_f_nbio_test@plt
0x00000000004140e0  ASN1_generate_nconf@plt
0x00000000004140f0  SSL_get_current_expansion@plt
0x0000000000414100  i2b_PrivateKey_bio@plt
0x0000000000414110  BN_cmp@plt
0x0000000000414120  BIO_dump@plt
0x0000000000414130  ERR_peek_last_error@plt
0x0000000000414140  TS_CONF_set_certs@plt
0x0000000000414150  EVP_PKEY_get1_RSA@plt
0x0000000000414160  CMS_data@plt
0x0000000000414170  EVP_Digest@plt
0x0000000000414180  d2i_X509_bio@plt
0x0000000000414190  i2b_PVK_bio@plt
0x00000000004141a0  EVP_read_pw_string@plt
0x00000000004141b0  X509_NAME_entry_count@plt
0x00000000004141c0  lh_node_usage_stats_bio@plt
0x00000000004141d0  d2i_PKCS8_PRIV_KEY_INFO_bio@plt
0x00000000004141e0  X509_to_X509_REQ@plt
0x00000000004141f0  DSA_dup_DH@plt
0x0000000000414200  EVP_PKEY_add1_attr_by_NID@plt
0x0000000000414210  PKCS12_verify_mac@plt
0x0000000000414220  CMS_decrypt_set1_pkey@plt
0x0000000000414230  OBJ_sn2nid@plt
0x0000000000414240  SRP_VBASE_init@plt
0x0000000000414250  DSA_free@plt
0x0000000000414260  UI_method_set_opener@plt
0x0000000000414270  BIO_new_dgram@plt
0x0000000000414280  PEM_write_bio_PKCS7@plt
0x0000000000414290  TS_MSG_IMPRINT_set_algo@plt
0x00000000004142a0  EVP_EncryptFinal_ex@plt
0x00000000004142b0  TS_RESP_get_token@plt
0x00000000004142c0  EVP_CIPHER_do_all_sorted@plt
0x00000000004142d0  CMS_encrypt@plt
0x00000000004142e0  SSL_CTX_set1_param@plt
0x00000000004142f0  EVP_DigestFinal_ex@plt
0x0000000000414300  TS_STATUS_INFO_free@plt
0x0000000000414310  i2d_X509_PUBKEY@plt
0x0000000000414320  SSL_get_servername@plt
0x0000000000414330  fdopen@plt
0x0000000000414340  ENGINE_init@plt
0x0000000000414350  ENGINE_free@plt
0x0000000000414360  strrchr@plt
0x0000000000414370  X509V3_EXT_CRL_add_nconf@plt
0x0000000000414380  UI_get0_user_data@plt
0x0000000000414390  a2i_ASN1_INTEGER@plt
0x00000000004143a0  X509_VERIFY_PARAM_add0_policy@plt
0x00000000004143b0  SRP_create_verifier@plt
0x00000000004143c0  HMAC_Final@plt
0x00000000004143d0  SSL_set_SSL_CTX@plt
0x00000000004143e0  EC_GROUP_get_cofactor@plt
0x00000000004143f0  EC_GROUP_method_of@plt
0x0000000000414400  NETSCAPE_CERT_SEQUENCE_free@plt
0x0000000000414410  TS_MSG_IMPRINT_new@plt
0x0000000000414420  BIO_sock_should_retry@plt
0x0000000000414430  SSL_set_connect_state@plt
0x0000000000414440  SSL_CTX_set_srp_username_callback@plt
0x0000000000414450  SSL_CIPHER_get_version@plt
0x0000000000414460  pipe@plt
0x0000000000414470  PEM_write_bio_ECPrivateKey@plt
0x0000000000414480  SSL_CTX_ctrl@plt
0x0000000000414490  sleep@plt
0x00000000004144a0  string_to_hex@plt
0x00000000004144b0  OCSP_cert_id_new@plt
0x00000000004144c0  BN_bn2bin@plt
0x00000000004144d0  X509_REQ_print@plt
0x00000000004144e0  EC_GROUP_get_curve_GFp@plt
0x00000000004144f0  CONF_load@plt
0x0000000000414500  EVP_PKCS82PKEY@plt
0x0000000000414510  X509_EXTENSION_free@plt
0x0000000000414520  BN_hex2bn@plt
0x0000000000414530  SSL_accept@plt
0x0000000000414540  RAND_cleanup@plt
0x0000000000414550  BIO_new_accept@plt
0x0000000000414560  EVP_CIPHER_nid@plt
0x0000000000414570  SSL_get_verify_result@plt
0x0000000000414580  EVP_camellia_192_cbc@plt
0x0000000000414590  i2d_OCSP_RESPONSE@plt
0x00000000004145a0  SSL_do_handshake@plt
0x00000000004145b0  SSLv3_client_method@plt
0x00000000004145c0  X509_get0_pubkey_bitstr@plt
0x00000000004145d0  RAND_write_file@plt
0x00000000004145e0  TS_REQ_free@plt
0x00000000004145f0  X509_NAME_ENTRY_free@plt
0x0000000000414600  CMS_uncompress@plt
0x0000000000414610  UI_construct_prompt@plt
0x0000000000414620  X509_REQ_set_subject_name@plt
0x0000000000414630  TS_CONF_get_tsa_section@plt
0x0000000000414640  BIO_f_cipher@plt
0x0000000000414650  X509_REVOKED_add1_ext_i2d@plt
0x0000000000414660  X509_NAME_ENTRY_get_data@plt
0x0000000000414670  SHA512@plt
0x0000000000414680  EVP_PKEY_keygen_init@plt
0x0000000000414690  ASN1_TYPE_free@plt
0x00000000004146a0  NCONF_get_section@plt
0x00000000004146b0  i2d_X509_REQ_bio@plt
0x00000000004146c0  DSAparams_dup@plt
0x00000000004146d0  i2d_PKCS7_bio_stream@plt
0x00000000004146e0  X509_STORE_set1_param@plt
0x00000000004146f0  i2d_X509_CRL_bio@plt
0x0000000000414700  strstr@plt
0x0000000000414710  ECDSA_sign@plt
0x0000000000414720  ASN1_parse_dump@plt
0x0000000000414730  EVP_get_digestbyname@plt
0x0000000000414740  NCONF_get_string@plt
0x0000000000414750  TS_REQ_to_TS_VERIFY_CTX@plt
0x0000000000414760  i2d_TS_REQ_bio@plt
0x0000000000414770  EVP_CIPHER_CTX_set_flags@plt
0x0000000000414780  ENGINE_load_private_key@plt
0x0000000000414790  EVP_PKEY_keygen@plt
0x00000000004147a0  OCSP_sendreq_nbio@plt
0x00000000004147b0  BIO_set_callback_arg@plt
0x00000000004147c0  OCSP_REQ_CTX_free@plt
